Artist,Countries
Kylie Minogue,global|be|ca|fr
LANY,global|be|ca|fr
LX,global
La La Land Cast,global|be|ca|fr
Labrinth,global|ca
Lady Gaga,global|be|ca|fr
Lana Del Rey,global|be|ca|fr
Lauren Daigle,global|be|ca|fr
Lauren Jauregui,global
Lauv,global|be|ca|fr
Lazza,global
Lean Trap,global
Lele Pons,global|fr
Leon Bridges,global|be
Leona Lewis,global|be|ca|fr
Leslie Grace,global
Lewis Capaldi,global|be|ca|fr
Lexa,global
Liam Payne,global|be|ca|fr
Likybo,global|be|ca
Lil Baby,global|be|ca|fr
Lil Dicky,global|be|ca|fr
Lil Kleine,global|be
Lil Mosey,global|be|ca|fr
Lil Nas X,global|be|ca|fr
Lil Peep,global|be|ca|fr
Lil Pump,global|be|ca|fr
Lil Skies,global|be|ca
Lil Tecca,global|be|ca|fr
Lil Tjay,global|ca
Lil Uzi Vert,global|be|ca|fr
Lil Wayne,global|be|ca|fr
Lil Xan,global|be|ca
Lil Yachty,global|be|ca|fr
Linkin Park,global|be|ca|fr
Little Mix,global|be|ca
Lizzo,global|be|ca|fr
Logic,global|be|ca|fr
London Grammar,global|be|fr
Lord Huron,global|be|ca|fr
Lorde,global|be|ca|fr
Loredana,global
Loren Allred,global
Los Ángeles Azules,global
Lou Monte,global|be|ca
Loud Luxury,global|be|ca|fr
Louis The Child,global|be|ca
Louis Tomlinson,global|be|ca|fr
Luan Santana,global
Luca Hänni,global|be
Luche,global
Luciano,global
Ludmilla,global
Luis Fonsi,global|be|ca|fr
Luis Miguel,global
Lukas Graham,global|be|ca|fr
Luke Christopher,global|be|ca
Luke Combs,global|ca
Lunay,global|be|ca
Luísa Sonza,global
Lynyrd Skynyrd,global|be|ca
M.I.A.,global|be|ca|fr
MACHETE,global
MAX,global|be|ca
MC Bruninho,global
MC Du Black,global
MC Fioti,global|be|fr
MC G15,global
MC Ingryd,global
MC JottaPê,global
MC Kekel,global
MC Kevin o Chris,global
MC Kevinho,global
MC L da Vinte,global
MC Loma e As Gêmeas Lacração,global
MC MM,global
MC WM,global
MC's Jhowzinho and Kadinho,global
MEDUZA,global|be|ca|fr
MERO,global|be
Mabel,global|be|ca|fr
Mac Miller,global|be|ca|fr
Machine Gun Kelly,global|be|ca|fr
Macklemore,global|be|ca|fr
Macklemore and Ryan Lewis,global|be|ca|fr
Madison Beer,global|be|ca
Madonna,global|be|ca
Maes,global|be|fr
Maggie Lindemann,global|be|ca|fr
Maggie Rogers,global|be|ca
Mahmood,global|be|fr
Maite Perroni,global
Majid Jordan,global|ca
Major Lazer,global|be|ca|fr
Maluma,global|be|ca|fr
Mambo Kingz,global
Manuel Turizo,global
Marc Anthony,global
Marc E. Bassy,global|ca
Maren Morris,global|be|ca
Mariah Carey,global|be|ca|fr
Marian Hill,global|ca|fr
Marilyn Manson,global|ca
Mark Ronson,global|be|ca|fr
Maroon 5,global|be|ca|fr
Marracash,global
Marshmello,global|be|ca|fr
Martin Garrix,global|be|ca|fr
Martin Jensen,global|be|ca|fr
Martin Solveig,global|be|fr
Marvin Gaye,global|be|ca|fr
Marília Mendonça,global
Mason Ramsey,global|ca
Matheus and Kauan,global
Matt Terry,global|be|ca
Matthew Wilder,global|be|ca
Mau y Ricky,global
Mc Livinho,global
Meek Mill,global|be|ca|fr
Megan Thee Stallion,global|be|ca|fr
Meghan Trainor,global|be|ca
Mel and Kim,global|be|ca
Melanie Martinez,global
Melanie Thornton,global
Metro Boomin,global|be|ca|fr
MiC LOWRY,global|be|ca
Miami Yacine,global
